BLOCK_X=16, BLOCK_Y=8, TILE_SIZE=704: Count=12
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=960: Count=10
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=896: Count=8
BLOCK_X=16, BLOCK_Y=32, TILE_SIZE=128: Count=7
BLOCK_X=16, BLOCK_Y=8, TILE_SIZE=768: Count=7
BLOCK_X=32, BLOCK_Y=32, TILE_SIZE=256: Count=6
BLOCK_X=32, BLOCK_Y=16, TILE_SIZE=512: Count=6
BLOCK_X=16, BLOCK_Y=16, TILE_SIZE=384: Count=5
BLOCK_X=16, BLOCK_Y=8, TILE_SIZE=832: Count=3
BLOCK_X=16, BLOCK_Y=16, TILE_SIZE=448: Count=3
BLOCK_X=16, BLOCK_Y=8, TILE_SIZE=896: Count=3
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=1024: Count=3
BLOCK_X=8, BLOCK_Y=16, TILE_SIZE=192: Count=2
BLOCK_X=16, BLOCK_Y=32, TILE_SIZE=192: Count=2
BLOCK_X=8, BLOCK_Y=32, TILE_SIZE=64: Count=1
BLOCK_X=8, BLOCK_Y=16, TILE_SIZE=256: Count=1
BLOCK_X=8, BLOCK_Y=16, TILE_SIZE=448: Count=1
